2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020-30","Percent employment change, 2020-30","Percent self employed, 2020","Occupational openings, 2020-30 annual average",Median annual wage 2020,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Meter readers, utilities",43-5041,Line item,27,24.7,-2.3,-8.6,—,1.7,41940,High school diploma or equivalent,None,Short-term on-the-job training
Postal service workers,43-5050,Summary,500.9,457.6,-43.3,-8.6,—,31.9,51150,—,—,—
Postal service clerks,43-5051,Line item,82.8,76.4,-6.4,-7.8,—,5.8,50150,High school diploma or equivalent,None,Short-term on-the-job training
Postal service mail carriers,43-5052,Line item,317.7,293.1,-24.7,-7.8,—,19.1,51080,High school diploma or equivalent,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,100.4,88.2,-12.2,-12.2,—,7,53140,High school diploma or equivalent,None,Short-term on-the-job training
"Production, planning, and expediting clerks",43-5061,Line item,365.7,393.6,27.9,7.6,0.3,41,49640,High school diploma or equivalent,None,Moderate-term on-the-job training
"Shipping, receiving, and inventory clerks",43-5071,Line item,734.9,694.3,-40.6,-5.5,0.4,64,35260,High school diploma or equivalent,None,Short-term on-the-job training
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,59.1,65.4,6.3,10.7,1.6,6.5,36650,High school diploma or equivalent,None,Short-term on-the-job training
Secretaries and administrative assistants,43-6000,Summary,"3,363.90","3,137.70",-226.2,-6.7,1.2,324.3,40990,—,—,—
Executive secretaries and executive administrative assistants,43-6011,Line item,538.8,438.2,-100.6,-18.7,0.3,42.1,63110,High school diploma or equivalent,Less than 5 years,None
Legal secretaries and administrative assistants,43-6012,Line item,160.4,126.7,-33.6,-21,—,12,48980,High school diploma or equivalent,None,Moderate-term on-the-job training
Medical secretaries and administrative assistants,43-6013,Line item,611.2,676.1,64.9,10.6,—,75.2,37350,High school diploma or equivalent,None,Moderate-term on-the-job training
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,"2,053.50","1,896.70",-156.9,-7.6,1.9,195.1,38850,High school diploma or equivalent,None,Short-term on-the-job training
Other office and administrative support workers,43-9000,Summary,"3,767.70","3,664.00",-103.8,-2.8,1.1,405.6,35870,—,—,—
Data entry and information processing workers,43-9020,Summary,203.7,151.8,-51.9,-25.5,2.6,14.2,35820,—,—,—
Data entry keyers,43-9021,Line item,158.4,122.8,-35.6,-22.5,2.5,11.6,34440,High school diploma or equivalent,None,Short-term on-the-job training
Word processors and typists,43-9022,Line item,45.2,28.9,-16.3,-36,3.2,2.6,41050,High school diploma or equivalent,None,Short-term on-the-job training
Desktop publishers,43-9031,Line item,8.2,7.2,-1,-12.3,11.5,0.8,47560,Associate's degree,None,Short-term on-the-job training
Insurance claims and policy processing clerks,43-9041,Line item,277.9,281.8,3.9,1.4,—,26.7,42050,High school diploma or equivalent,None,Moderate-term on-the-job training
"Mail clerks and mail machine operators, except postal service",43-9051,Line item,82.2,78.7,-3.4,-4.2,—,8.8,31920,High school diploma or equivalent,None,Short-term on-the-job training
"Office clerks, general",43-9061,Line item,"2,933.90","2,873.60",-60.4,-2.1,0.7,324.6,35330,High school diploma or equivalent,None,Short-term on-the-job training
"Office machine operators, except computer",43-9071,Line item,41.7,36.1,-5.6,-13.5,—,3.8,34730,High school diploma or equivalent,None,Short-term on-the-job training
Proofreaders and copy markers,43-9081,Line item,7.9,8.3,0.4,5.3,5.9,1.1,41140,Bachelor's degree,None,None
Statistical assistants,43-9111,Line item,10.4,11.3,0.8,7.9,3.3,1.3,50360,Bachelor's degree,None,None
"Office and administrative support workers, all other",43-9199,Line item,201.9,215.3,13.4,6.6,6.2,24.4,35890,High school diploma or equivalent,None,Short-term on-the-job training
"Farming, fishing, and forestry occupations",45-0000,Summary,"1,061.80","1,088.40",26.6,2.5,8,169.2,29670,—,—,—
"Supervisors of farming, fishing, and forestry workers",45-1000,Summary,53.2,57.8,4.6,8.7,18.7,8.3,50080,—,—,—
"First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,53.2,57.8,4.6,8.7,18.7,8.3,50080,High school diploma or equivalent,Less than 5 years,None
Agricultural workers,45-2000,Summary,918.1,934.6,16.5,1.8,5.7,146.5,29020,—,—,—
Agricultural inspectors,45-2011,Line item,16.6,18.2,1.5,9.1,—,2.9,46700,Bachelor's degree,None,Moderate-term on-the-job training
Animal breeders,45-2021,Line item,8.4,8.2,-0.3,-3.2,1.6,1.3,40770,High school diploma or equivalent,None,Short-term on-the-job training
"Graders and sorters, agricultural products",45-2041,Line item,32.5,32.1,-0.5,-1.4,—,4.7,28220,No formal educational credential,None,Short-term on-the-job training
Miscellaneous agricultural workers,45-2090,Summary,860.5,876.2,15.7,1.8,6.1,137.6,28890,—,—,—
Agricultural equipment operators,45-2091,Line item,65,73.4,8.4,12.9,6.4,11.7,32750,No formal educational credential,None,Moderate-term on-the-job training
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,526.3,554.3,28,5.3,8,87.4,28660,No formal educational credential,None,Short-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,256.9,235.5,-21.3,-8.3,2,36.4,29130,No formal educational credential,None,Short-term on-the-job training
"Agricultural workers, all other",45-2099,Line item,12.3,12.9,0.6,4.9,6.2,2,30140,No formal educational credential,None,Short-term on-the-job training
Fishing and hunting workers,45-3000,Summary,32.3,35.8,3.4,10.6,41.9,5.3,—,—,—,—
Fishing and hunting workers,45-3031,Line item,32.3,35.8,3.4,10.6,41.9,5.3,—,No formal educational credential,None,Moderate-term on-the-job training
"Forest, conservation, and logging workers",45-4000,Summary,58.1,60.2,2.1,3.5,14.7,9.1,40200,—,—,—
Forest and conservation workers,45-4011,Line item,12.6,11.6,-1,-8,17.1,1.8,30640,High school diploma or equivalent,None,Moderate-term on-the-job training
Logging workers,45-4020,Summary,45.5,48.6,3.1,6.7,14.1,7.4,42350,—,—,—
Fallers,45-4021,Line item,5.6,5.5,-0.1,-1.3,14.6,0.8,43190,High school diploma or equivalent,None,Moderate-term on-the-job training
Logging equipment operators,45-4022,Line item,30.9,33.5,2.5,8.1,14.1,5.1,43210,High school diploma or equivalent,None,Moderate-term on-the-job training
Log graders and scalers,45-4023,Line item,4,4.3,0.3,7.7,14.3,0.7,36900,High school diploma or equivalent,None,Moderate-term on-the-job training
"Logging workers, all other",45-4029,Line item,5,5.3,0.3,6.3,13.2,0.8,41410,High school diploma or equivalent,None,Moderate-term on-the-job training
Construction and extraction occupations,47-0000,Summary,"6,971.10","7,371.20",400,5.7,15,741.4,48610,—,—,—
Supervisors of construction and extraction workers,47-1000,Summary,692.2,735.3,43.1,6.2,11.7,70.7,67840,—,—,—
First-line supervisors of construction trades and extraction workers,47-1011,Line item,692.2,735.3,43.1,6.2,11.7,70.7,67840,High school diploma or equivalent,5 years or more,None
Construction trades workers,47-2000,Summary,"5,364.50","5,658.50",294,5.5,17.6,558.1,47480,—,—,—
Boilermakers,47-2011,Line item,14.9,14.7,-0.2,-1,5.3,1.3,65360,High school diploma or equivalent,None,Apprenticeship
"Brickmasons, blockmasons, and stonemasons",47-2020,Summary,83.5,79.6,-3.9,-4.6,16.6,7.2,53090,—,—,—
Brickmasons and blockmasons,47-2021,Line item,69.6,65.9,-3.7,-5.3,16.5,6,55080,High school diploma or equivalent,None,Apprenticeship
Stonemasons,47-2022,Line item,13.9,13.7,-0.2,-1.4,16.6,1.3,43650,High school diploma or equivalent,None,Apprenticeship
Carpenters,47-2031,Line item,942.9,963,20.1,2.1,25.6,89.3,49520,High school diploma or equivalent,None,Apprenticeship
"Carpet, floor, and tile installers and finishers",47-2040,Summary,117.6,125.1,7.5,6.4,29.8,11,43210,—,—,—
Carpet installers,47-2041,Line item,32.6,30.7,-1.9,-5.9,29.8,2.5,41480,No formal educational credential,None,Short-term on-the-job training
"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,23.7,26.6,2.9,12.3,29.8,2.4,45520,No formal educational credential,None,Moderate-term on-the-job training
Floor sanders and finishers,47-2043,Line item,7.2,7.5,0.3,4.5,29.9,0.7,38850,No formal educational credential,None,Moderate-term on-the-job training
Tile and stone setters,47-2044,Line item,54.1,60.3,6.2,11.5,29.8,5.4,44220,No formal educational credential,None,Long-term on-the-job training
"Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,197.1,195,-2.1,-1.1,1.1,17.4,46060,—,—,—
Cement masons and concrete finishers,47-2051,Line item,194.1,192.2,-1.9,-1,1.1,17.2,46000,No formal educational credential,None,Moderate-term on-the-job training
Terrazzo workers and finishers,47-2053,Line item,3,2.7,-0.3,-8.5,—,0.2,51430,High school diploma or equivalent,None,Apprenticeship
Construction laborers,47-2061,Line item,"1,285.20","1,388.30",103.2,8,25.2,140.1,37890,No formal educational credential,None,Short-term on-the-job training
Construction equipment operators,47-2070,Summary,457.2,482.1,24.9,5.4,1.8,51.5,49100,—,—,—
"Paving, surfacing, and tamping equipment operators",47-2071,Line item,44.8,47.4,2.5,5.6,1.8,5.1,41540,High school diploma or equivalent,None,Moderate-term on-the-job training
Pile driver operators,47-2072,Line item,3.9,4.1,0.2,4.8,2.2,0.4,63370,High school diploma or equivalent,None,Moderate-term on-the-job training
Operating engineers and other construction equipment operators,47-2073,Line item,408.5,430.7,22.2,5.4,1.8,46,49770,High school diploma or equivalent,None,Moderate-term on-the-job training
"Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,141,147.1,6.1,4.3,17.5,12.3,48830,—,—,—
Drywall and ceiling tile installers,47-2081,Line item,121.2,127.2,6,4.9,17.5,10.7,47460,No formal educational credential,None,Moderate-term on-the-job training
Tapers,47-2082,Line item,19.8,19.9,0.1,0.5,17.5,1.6,59450,No formal educational credential,None,Moderate-term on-the-job training
Electricians,47-2111,Line item,729.6,795.7,66.1,9.1,8.7,84.7,56900,High school diploma or equivalent,None,Apprenticeship
Glaziers,47-2121,Line item,53.6,56.1,2.5,4.7,3.2,6,46080,High school diploma or equivalent,None,Apprenticeship
Insulation workers,47-2130,Summary,61.5,64.6,3.1,5,1.2,6.1,45820,—,—,—
"Insulation workers, floor, ceiling, and wall",47-2131,Line item,33.3,34.9,1.6,4.9,1.2,3.3,41690,No formal educational credential,None,Short-term on-the-job training
"Insulation workers, mechanical",47-2132,Line item,28.2,29.6,1.4,5.1,1.2,2.8,50030,High school diploma or equivalent,None,Apprenticeship
Painters and paperhangers,47-2140,Summary,355.4,374.1,18.6,5.2,38.5,33.1,42150,—,—,—
"Painters, construction and maintenance",47-2141,Line item,350.8,369.1,18.3,5.2,38.5,32.7,42130,No formal educational credential,None,Moderate-term on-the-job training
Paperhangers,47-2142,Line item,4.6,4.9,0.3,6.4,39.9,0.4,43560,No formal educational credential,None,Long-term on-the-job training
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,504.9,527.8,22.8,4.5,10,54.5,54980,—,—,—
Pipelayers,47-2151,Line item,35.1,34.5,-0.5,-1.5,4.8,3.5,40480,No formal educational credential,None,Short-term on-the-job training
"Plumbers, pipefitters, and steamfitters",47-2152,Line item,469.9,493.2,23.4,5,10.4,51,56330,High school diploma or equivalent,None,Apprenticeship
Plasterers and stucco masons,47-2161,Line item,26.1,27.8,1.8,6.8,4.1,2.4,47020,No formal educational credential,None,Long-term on-the-job training
Reinforcing iron and rebar workers,47-2171,Line item,22.1,23.2,1.2,5.3,16.5,2.2,49390,High school diploma or equivalent,None,Apprenticeship
Roofers,47-2181,Line item,153.7,160.8,7.1,4.6,18.4,15.6,43580,No formal educational credential,None,Moderate-term on-the-job training
Sheet metal workers,47-2211,Line item,135.4,140.2,4.8,3.6,4.8,13.1,51370,High school diploma or equivalent,None,Apprenticeship
Structural iron and steel workers,47-2221,Line item,71,75.3,4.2,5.9,0.3,7.9,54830,High school diploma or equivalent,None,Apprenticeship
Solar photovoltaic installers,47-2231,Line item,11.8,17.9,6.1,52.1,—,2.3,46470,High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers, construction trades",47-3000,Summary,229.1,235,5.9,2.6,0.5,27.7,34000,—,—,—
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,20.9,20.1,-0.8,-3.9,0.5,2.3,36990,No formal educational credential,None,Short-term on-the-job training
Helpers--carpenters,47-3012,Line item,31,31.2,0.2,0.7,0.5,3.7,34280,No formal educational credential,None,Short-term on-the-job training
Helpers--electricians,47-3013,Line item,75.5,76.2,0.7,0.9,0.5,8.9,33840,High school diploma or equivalent,None,Short-term on-the-job training
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,9.4,10,0.6,6.8,—,1.2,31640,No formal educational credential,None,Short-term on-the-job training
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,56.2,59.4,3.1,5.6,0.5,7.1,33590,High school diploma or equivalent,None,Short-term on-the-job training
Helpers--roofers,47-3016,Line item,8.2,8.6,0.4,4.8,—,1,33260,No formal educational credential,None,Short-term on-the-job training
"Helpers, construction trades, all other",47-3019,Line item,27.8,29.5,1.7,5.9,0.4,3.5,33360,No formal educational credential,None,Short-term on-the-job training
Other construction and related workers,47-4000,Summary,459.5,478.4,19,4.1,4.4,52.4,47580,—,—,—
Construction and building inspectors,47-4011,Line item,129.3,125.6,-3.8,-2.9,11.1,14.3,62860,High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Elevator and escalator installers and repairers,47-4021,Line item,24.8,26.3,1.5,6.1,—,2.5,88540,High school diploma or equivalent,None,Apprenticeship
Fence erectors,47-4031,Line item,28,29.2,1.2,4.3,4.5,3,37550,No formal educational credential,None,Moderate-term on-the-job training
Hazardous materials removal workers,47-4041,Line item,44.5,47.4,2.9,6.6,1.4,5.8,45270,High school diploma or equivalent,None,Moderate-term on-the-job training
Highway maintenance workers,47-4051,Line item,153.8,163.1,9.3,6,0.6,17.1,41660,High school diploma or equivalent,None,Moderate-term on-the-job training
Rail-track laying and maintenance equipment operators,47-4061,Line item,15.7,16.5,0.8,5.3,8.1,1.5,56370,High school diploma or equivalent,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners,47-4071,Line item,30.4,34.8,4.4,14.3,2.3,4.2,41120,High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,47-4090,Line item,32.9,35.6,2.7,8.1,2.8,4.2,39660,High school diploma or equivalent,None,Moderate-term on-the-job training
Extraction workers,47-5000,Summary,225.9,264,38.1,16.9,1.5,32.5,46020,—,—,—
"Derrick, rotary drill, and service unit operators, oil and gas",47-5010,Summary,67.3,83.8,16.5,24.6,0.6,10.5,48820,—,—,—
"Derrick operators, oil and gas",47-5011,Line item,9,11.7,2.7,29.7,0.6,1.5,47920,No formal educational credential,None,Short-term on-the-job training
"Rotary drill operators, oil and gas",47-5012,Line item,15.2,19.2,4,26.4,0.6,2.4,53820,No formal educational credential,None,Moderate-term on-the-job training
"Service unit operators, oil and gas",47-5013,Line item,43.1,52.9,9.8,22.9,0.6,6.6,47380,No formal educational credential,None,Moderate-term on-the-job training
"Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,41.3,43.1,1.8,4.5,2.4,5.1,45150,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Continuous mining machine operators,47-5041,Line item,15.2,16.1,0.9,5.7,2.6,1.9,56920,No formal educational credential,None,Moderate-term on-the-job training
"Roof bolters, mining",47-5043,Line item,2.1,1.9,-0.1,-6.9,2.7,0.2,61190,High school diploma or equivalent,None,Moderate-term on-the-job training
"Loading and moving machine operators, underground mining",47-5044,Line item,3.5,3.3,-0.2,-5.5,2.7,0.4,56640,No formal educational credential,None,Short-term on-the-job training
"Rock splitters, quarry",47-5051,Line item,4.6,4.9,0.3,6,2.7,0.6,37130,No formal educational credential,None,Short-term on-the-job training
"Roustabouts, oil and gas",47-5071,Line item,43.5,56.4,12.9,29.5,0.6,7.2,39420,No formal educational credential,None,Moderate-term on-the-job training
Helpers--extraction workers,47-5081,Line item,12.6,15.5,2.9,23,2.7,1.9,37860,High school diploma or equivalent,None,Moderate-term on-the-job training
"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",47-5097,Line item,23.2,25.1,1.8,8,2.2,3,48510,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
"Underground mining machine operators and extraction workers, all other",47-5098,Line item,12.6,13.9,1.3,10.2,2.6,1.7,52400,High school diploma or equivalent,None,Moderate-term on-the-job training
"Installation, maintenance, and repair occupations",49-0000,Summary,"5,847.30","6,239.80",392.5,6.7,4.3,612.7,48750,—,—,—
"Supervisors of installation, maintenance, and repair workers",49-1000,Summary,484.1,515.8,31.7,6.6,0.1,47.4,70240,—,—,—
"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,484.1,515.8,31.7,6.6,0.1,47.4,70240,High school diploma or equivalent,Less than 5 years,None
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,552.8,564.1,11.2,2,5,57.1,55300,—,—,—
"Computer, automated teller, and office machine repairers",49-2011,Line item,102.4,100.2,-2.2,-2.2,11.4,10.5,41090,"Some college, no degree",None,Short-term on-the-job training
Radio and telecommunications equipment installers and repairers,49-2020,Summary,209.3,207.6,-1.7,-0.8,2.5,23.1,61250,—,—,—
"Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,13.5,14.1,0.5,3.9,2.3,1.6,57720,Associate's degree,None,Moderate-term on-the-job training
"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,195.8,193.5,-2.2,-1.1,2.5,21.5,61470,Postsecondary nondegree award,None,Moderate-term on-the-job training
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,241.1,256.3,15.2,6.3,4.6,23.5,56750,—,—,—
Avionics technicians,49-2091,Line item,21.2,23.2,2.1,9.7,—,1.7,67840,Associate's degree,None,None
"Electric motor, power tool, and related repairers",49-2092,Line item,17.8,19.1,1.2,6.9,13.7,1.9,46590,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,9.1,9.7,0.6,6.7,—,0.8,70200,Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,56.4,59,2.5,4.5,—,4.7,62010,Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,23.1,22.5,-0.5,-2.4,—,1.7,85340,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,10.2,8.5,-1.6,-16.2,—,0.6,39570,High school diploma or equivalent,None,Moderate-term on-the-job training
Audiovisual equipment installers and repairers,49-2097,Line item,29.9,28.8,-1.1,-3.8,15,3,41460,Postsecondary nondegree award,None,Short-term on-the-job training
Security and fire alarm systems installers,49-2098,Line item,73.4,85.5,12.1,16.4,5.5,9.2,50940,High school diploma or equivalent,None,Moderate-term on-the-job training
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,"1,702.80","1,787.10",84.3,5,7.8,176.5,46530,—,—,—
Aircraft mechanics and service technicians,49-3011,Line item,130.1,145.4,15.3,11.8,3.5,12.7,66440,Postsecondary nondegree award,None,None
Automotive technicians and repairers,49-3020,Summary,877.3,889.2,11.9,1.4,10.6,86.5,44080,—,—,—
Automotive body and related repairers,49-3021,Line item,153.7,161.8,8.1,5.3,10.3,15.2,45350,High school diploma or equivalent,None,Long-term on-the-job training
Automotive glass installers and repairers,49-3022,Line item,19.7,21.5,1.7,8.8,5.9,2.3,37710,High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive service technicians and mechanics,49-3023,Line item,703.8,705.9,2.1,0.3,10.8,69,44050,Postsecondary nondegree award,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists,49-3031,Line item,275.4,296.8,21.4,7.8,7.4,28.1,50200,High school diploma or equivalent,None,Long-term on-the-job training
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,220.8,245,24.3,11,3.4,25.1,53370,—,—,—
Farm equipment mechanics and service technicians,49-3041,Line item,47.6,52.9,5.3,11.1,3,5.4,43880,High school diploma or equivalent,None,Long-term on-the-job training
"Mobile heavy equipment mechanics, except engines",49-3042,Line item,152.1,169.9,17.8,11.7,3.5,17.5,55350,High school diploma or equivalent,None,Long-term on-the-job training
Rail car repairers,49-3043,Line item,21.1,22.2,1.1,5.2,3.8,2.2,57710,High school diploma or equivalent,None,Long-term on-the-job training
Small engine mechanics,49-3050,Summary,69,75.4,6.5,9.4,4.4,8.6,39020,—,—,—
Motorboat mechanics and service technicians,49-3051,Line item,21.7,24.6,2.9,13.3,4.5,2.8,43320,High school diploma or equivalent,None,Long-term on-the-job training
Motorcycle mechanics,49-3052,Line item,14,15.4,1.4,9.6,4.6,1.7,38010,Postsecondary nondegree award,None,Short-term on-the-job training
Outdoor power equipment and other small engine mechanics,49-3053,Line item,33.3,35.5,2.2,6.7,4.4,4,37530,High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,130.2,135.2,5,3.8,2.7,15.6,31010,—,—,—
Bicycle repairers,49-3091,Line item,12.1,12.5,0.4,3.7,2.6,1.4,32630,High school diploma or equivalent,None,Moderate-term on-the-job training
Recreational vehicle service technicians,49-3092,Line item,15.4,18.1,2.7,17.2,2.7,2.2,40520,High school diploma or equivalent,None,Long-term on-the-job training
Tire repairers and changers,49-3093,Line item,102.7,104.6,1.9,1.8,2.7,12,30060,High school diploma or equivalent,None,Short-term on-the-job training
"Other installation, maintenance, and repair occupations",49-9000,Summary,"3,107.60","3,372.80",265.2,8.5,2.9,331.6,46290,—,—,—
Control and valve installers and repairers,49-9010,Summary,73.5,77.4,3.9,5.3,—,6.4,52560,—,—,—
Mechanical door repairers,49-9011,Line item,22.8,25.5,2.8,12.2,—,2.2,43220,High school diploma or equivalent,None,Moderate-term on-the-job training
"Control and valve installers and repairers, except mechanical door",49-9012,Line item,50.8,51.9,1.1,2.3,—,4.2,60580,High school diploma or equivalent,None,Moderate-term on-the-job training
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,380.4,399.4,19,5,8.6,38.5,50590,Postsecondary nondegree award,None,Long-term on-the-job training
Home appliance repairers,49-9031,Line item,31.6,30.4,-1.1,-3.6,12.8,2.9,41610,High school diploma or equivalent,None,Moderate-term on-the-job training
"Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,502.3,597.3,95.1,18.9,0.5,56.4,54920,—,—,—
Industrial machinery mechanics,49-9041,Line item,391.8,475.3,83.6,21.3,0.7,45.1,55490,High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance workers, machinery",49-9043,Line item,65.6,72.6,7,10.7,—,6.8,50100,High school diploma or equivalent,None,Long-term on-the-job training
Millwrights,49-9044,Line item,44.2,48.7,4.6,10.3,—,4.4,57260,High school diploma or equivalent,None,Apprenticeship
"Refractory materials repairers, except brickmasons",49-9045,Line item,0.8,0.6,-0.1,-14.5,—,0,54610,High school diploma or equivalent,None,Moderate-term on-the-job training
Line installers and repairers,49-9050,Summary,240.3,241,0.7,0.3,0.9,23.3,68030,—,—,—
Electrical power-line installers and repairers,49-9051,Line item,115.9,117.4,1.5,1.3,0.4,10.2,75030,High school diploma or equivalent,None,Long-term on-the-job training
Telecommunications line installers and repairers,49-9052,Line item,124.4,123.6,-0.8,-0.7,1.4,13.1,58870,High school diploma or equivalent,None,Long-term on-the-job training
Precision instrument and equipment repairers,49-9060,Summary,80.5,84.4,3.9,4.8,11.1,8.9,50740,—,—,—
Camera and photographic equipment repairers,49-9061,Line item,3.7,4,0.3,8,10.5,0.4,40330,High school diploma or equivalent,None,Long-term on-the-job training
Medical equipment repairers,49-9062,Line item,54.9,58.8,3.9,7.2,11.4,6.3,51610,Associate's degree,None,Moderate-term on-the-job training
Musical instrument repairers and tuners,49-9063,Line item,7.8,7.5,-0.3,-3.9,11.8,0.8,36810,High school diploma or equivalent,None,Apprenticeship
Watch and clock repairers,49-9064,Line item,2.8,2.1,-0.7,-24.9,11.7,0.2,45290,High school diploma or equivalent,None,Long-term on-the-job training
"Precision instrument and equipment repairers, all other",49-9069,Line item,11.4,12,0.6,5.6,9,1.3,61420,High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance and repair workers, general",49-9071,Line item,"1,444.10","1,561.10",117,8.1,0.9,152.3,40850,High school diploma or equivalent,None,Moderate-term on-the-job training
Wind turbine service technicians,49-9081,Line item,6.9,11.7,4.7,68.2,12,1.4,56230,Postsecondary nondegree award,None,Long-term on-the-job training
"Miscellaneous installation, maintenance, and repair workers",49-9090,Summary,348,370.1,22.1,6.3,7.3,41.5,39100,—,—,—
"Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,27.2,29.7,2.4,9,4.5,3.6,37580,High school diploma or equivalent,None,Short-term on-the-job training
Commercial divers,49-9092,Line item,4,4.7,0.7,16.8,12.1,0.5,54800,Postsecondary nondegree award,None,Moderate-term on-the-job training
Locksmiths and safe repairers,49-9094,Line item,19.2,18.8,-0.5,-2.3,13.8,1.8,43690,High school diploma or equivalent,None,Long-term on-the-job training
Manufactured building and mobile home installers,49-9095,Line item,3.4,2.8,-0.6,-18.4,12,0.3,35120,High school diploma or equivalent,None,Short-term on-the-job training
Riggers,49-9096,Line item,21.3,23.9,2.6,12.1,—,2.5,50850,High school diploma or equivalent,None,Moderate-term on-the-job training
Signal and track switch repairers,49-9097,Line item,6.6,7,0.4,5.6,11.9,0.7,76210,High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers--installation, maintenance, and repair workers",49-9098,Line item,92.9,99.8,6.9,7.4,0.7,12.9,31760,High school diploma or equivalent,None,Short-term on-the-job training
"Installation, maintenance, and repair workers, all other",49-9099,Line item,173.2,183.4,10.2,5.9,11.1,19.2,42480,High school diploma or equivalent,None,Moderate-term on-the-job training
Production occupations,51-0000,Summary,"8,766.50","8,727.40",-39,-0.4,2.4,949.7,37440,—,—,—
Supervisors of production workers,51-1000,Summary,616.8,639.6,22.7,3.7,2.1,63.4,62850,—,—,—
First-line supervisors of production and operating workers,51-1011,Line item,616.8,639.6,22.7,3.7,2.1,63.4,62850,High school diploma or equivalent,Less than 5 years,None
Assemblers and fabricators,51-2000,Summary,"1,731.70","1,645.70",-86,-5,0.6,174.2,34970,—,—,—
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,37.8,31.7,-6,-15.9,0.8,3.2,53160,High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronics, and electromechanical assemblers",51-2020,Summary,297.3,315.3,18,6.1,—,33.7,36460,—,—,—
"Coil winders, tapers, and finishers",51-2021,Line item,12.4,10.9,-1.5,-12.4,—,1.1,37970,High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,284.8,304.4,19.5,6.9,—,32.7,36390,High school diploma or equivalent,None,Moderate-term on-the-job training
Engine and other machine assemblers,51-2031,Line item,43.7,38.5,-5.1,-11.8,—,4,45770,High school diploma or equivalent,None,Moderate-term on-the-job training
Structural metal fabricators and fitters,51-2041,Line item,70,62,-8,-11.4,0.5,5.9,41780,High school diploma or equivalent,None,Moderate-term on-the-job training
Fiberglass laminators and fabricators,51-2051,Line item,19.2,19.1,-0.1,-0.4,0.8,2.1,36950,High school diploma or equivalent,None,Moderate-term on-the-job training
Timing device assemblers and adjusters,51-2061,Line item,1,0.8,-0.2,-17.8,—,0.1,36170,High school diploma or equivalent,None,Moderate-term on-the-job training
